day,bm_unit,lead_party,mwh,cost_gbp
2025-09-19,E_BTUIW-3,SP Renewables (UK) Limited,185.6,989.0
2025-09-19,E_GRGRW-1,Evolve Energy Supply Limited,82.2,5751.0
2025-09-19,T_AKGLW-3,AIK2A Sustainable Energy Ltd,72.1,4905.0
2025-09-19,T_BROCW-1,Smartestenergy Limited,114.7,4472.0
2025-09-19,T_CLDCW-1,Clyde Windfarm (Scotland) Ltd,15.2,1480.0
2025-09-19,T_CRDEW-1,EDF Energy Customers Limited,78.4,4235.0
2025-09-19,T_CRDEW-2,EDF Energy Customers Limited,78.8,4256.0
2025-09-19,T_CRGHW-1,Statkraft Markets Gmbh,52.9,4074.0
2025-09-19,T_CUMHW-1,Uniper UK Limited,210.8,4874.0
2025-09-19,T_DALQW-1,Statkraft Markets Gmbh,90.5,5520.0
2025-09-19,T_DOREW-1,Dorenell Windfarm Limited,571.5,17616.0
2025-09-19,T_DOREW-2,Dorenell Windfarm Limited,369.1,13134.0
2025-09-19,T_DOUGW-1,Erova Energy Limited,143.5,4304.0
2025-09-19,T_DRSLW-1,SP Renewables (UK) Limited,45.9,3397.0
2025-09-19,T_EDINW-1,Vattenfall Wind Power Ltd,287.5,31620.0
2025-09-19,T_GLNKW-1,EDF Energy Customers Limited,501.4,24315.0
2025-09-19,T_GORDW-2,SSE Generation Ltd,284.5,2255.0
2025-09-19,T_HALSW-1,SP Renewables (UK) Limited,230.5,1514.0
2025-09-19,T_HOWBO-2,Sonningmay Wind Limited,135.9,6061.0
2025-09-19,T_HOWBO-3,Soundmark Wind Limited,216.4,9385.0
2025-09-19,T_KENNW-1,Kennoxhead Wind Farm Limited,172.7,5427.0
2025-09-19,T_KYPEW-1,Kype Extension Wind Farm Ltd,262.2,6818.0
2025-09-19,T_LARYW-1,London Array Limited,333.8,60001.0
2025-09-19,T_LARYW-2,London Array Limited,333.0,59856.0
2025-09-19,T_LARYW-3,London Array Limited,291.2,52340.0
2025-09-19,T_LARYW-4,London Array Limited,297.9,53545.0
2025-09-19,T_LIMKW-1,Limekiln Extension Ltd,889.4,35575.0
2025-09-19,T_MOWEO-1,Moray Offshore Wind East Ltd,2619.3,79643.0
2025-09-19,T_MOWEO-2,Moray Offshore Wind East Ltd,2340.1,71314.0
2025-09-19,T_MOWEO-3,Moray Offshore Wind East Ltd,2347.2,72548.0
2025-09-19,T_MOWWO-1,Moray Offshore Wind West Ltd,1954.7,85459.0
2025-09-19,T_MOWWO-2,Moray Offshore Wind West Ltd,1335.9,58405.0
2025-09-19,T_MOWWO-3,Moray Offshore Wind West Ltd,1402.8,61328.0
2025-09-19,T_MOWWO-4,Moray Offshore Wind West Ltd,2686.0,156674.0
2025-09-19,T_RMPNO-1,Rampion Offshore Windfarm Ltd,268.0,44670.0
2025-09-19,T_RMPNO-2,Rampion Offshore Windfarm Ltd,230.4,38405.0
2025-09-19,T_SGRWO-1,Seagreen Wind Energy Limited,2968.5,51504.0
2025-09-19,T_SGRWO-2,Seagreen Wind Energy Limited,945.9,16412.0
2025-09-19,T_SGRWO-3,Seagreen Wind Energy Limited,1842.6,31968.0
2025-09-19,T_SGRWO-4,Seagreen Wind Energy Limited,1291.7,22412.0
2025-09-19,T_SGRWO-5,Seagreen Wind Energy Limited,725.7,12592.0
2025-09-19,T_SGRWO-6,Seagreen Wind Energy Limited,3969.3,68867.0
2025-09-19,T_THNTO-1,Thanet Offshore Wind Limited,194.7,38752.0
2025-09-19,T_THNTO-2,Thanet Offshore Wind Limited,194.7,38752.0
2025-09-19,T_VKNGW-1,Viking Energy Wind Farm LLP,1317.5,14949.0
2025-09-19,T_VKNGW-2,Viking Energy Wind Farm LLP,1413.8,16042.0
2025-09-19,T_VKNGW-3,Viking Energy Wind Farm LLP,1275.3,14470.0
2025-09-19,T_VKNGW-4,Viking Energy Wind Farm LLP,1195.7,13568.0
2025-09-19,T_WISTW-2,BROCKLOCH RIG WINDFARM LTD,15.7,1267.0
2025-09-20,E_BABAW-1,Statkraft Markets Gmbh,289.4,23727.0
2025-09-20,E_BLARW-1,Erova Energy Limited,61.5,3889.0
2025-09-20,E_BTUIW-3,SP Renewables (UK) Limited,149.0,794.0
2025-09-20,E_GRGRW-1,Evolve Energy Supply Limited,110.1,7706.0
2025-09-20,E_MINSW-1,Mobius Renewables Gen. (GB),58.6,6036.0
2025-09-20,T_AKGLW-2,Aikengall 2 CWCL,242.8,21121.0
2025-09-20,T_AKGLW-3,AIK2A Sustainable Energy Ltd,562.3,38237.0
2025-09-20,T_BHLAW-1,SSE Generation Ltd,263.7,22143.0
2025-09-20,T_CGTHW-1,Corriegarth Wind Energy LTD,69.9,5639.0
2025-09-20,T_CRDEW-1,EDF Energy Customers Limited,123.9,6693.0
2025-09-20,T_CRDEW-2,EDF Energy Customers Limited,123.9,6693.0
2025-09-20,T_CRGHW-1,Statkraft Markets Gmbh,84.9,6535.0
2025-09-20,T_CRMLW-1,EDF Energy Customers Limited,42.5,3383.0
2025-09-20,T_CRYRW-2,Eneco Energy Trade,761.1,64390.0
2025-09-20,T_CRYRW-3,Eneco Energy Trade,90.1,6908.0
2025-09-20,T_CUMHW-1,Uniper UK Limited,101.6,2350.0
2025-09-20,T_DNLWW-1,SP Renewables (UK) Limited,16.5,1358.0
2025-09-20,T_DOREW-1,Dorenell Windfarm Limited,1230.1,60738.0
2025-09-20,T_DOREW-2,Dorenell Windfarm Limited,879.2,43470.0
2025-09-20,T_EDINW-1,Vattenfall Wind Power Ltd,119.1,13099.0
2025-09-20,T_EWHLW-1,SP Renewables (UK) Limited,137.3,10172.0
2025-09-20,T_FALGW-1,Fallago Rig Wind Farm Limited,783.3,66951.0
2025-09-20,T_GLNKW-1,EDF Energy Customers Limited,321.5,15592.0
2025-09-20,T_GORDW-1,SSE Generation Ltd,122.5,10518.0
2025-09-20,T_GORDW-2,SSE Generation Ltd,470.1,3700.0
2025-09-20,T_GRGBW-1,Greater Gabbard Offshore Winds,437.6,72602.0
2025-09-20,T_GRGBW-2,Greater Gabbard Offshore Winds,406.0,67364.0
2025-09-20,T_GRGBW-3,Greater Gabbard Offshore Winds,371.3,61606.0
2025-09-20,T_HALSW-1,SP Renewables (UK) Limited,563.2,3700.0
2025-09-20,T_KYPEW-1,Kype Extension Wind Farm Ltd,127.6,3318.0
2025-09-20,T_LARYW-1,London Array Limited,1109.0,199346.0
2025-09-20,T_LARYW-2,London Array Limited,1109.1,199379.0
2025-09-20,T_LARYW-3,London Array Limited,1072.4,192766.0
2025-09-20,T_LARYW-4,London Array Limited,1124.3,202100.0
2025-09-20,T_LIMKW-1,Limekiln Extension Ltd,1524.9,60997.0
2025-09-20,T_MOWEO-1,Moray Offshore Wind East Ltd,5022.8,220020.0
2025-09-20,T_MOWEO-2,Moray Offshore Wind East Ltd,4730.1,234191.0
2025-09-20,T_MOWEO-3,Moray Offshore Wind East Ltd,5359.9,255207.0
2025-09-20,T_MOWWO-1,Moray Offshore Wind West Ltd,3268.4,142895.0
2025-09-20,T_MOWWO-2,Moray Offshore Wind West Ltd,2815.8,123107.0
2025-09-20,T_MOWWO-3,Moray Offshore Wind West Ltd,2146.5,93846.0
2025-09-20,T_MOWWO-4,Moray Offshore Wind West Ltd,2777.0,161984.0
2025-09-20,T_NNGAO-1,Neart Na Gaoithe Offshore Wind,300.4,34963.0
2025-09-20,T_NNGAO-2,Neart Na Gaoithe Offshore Wind,18.8,1665.0
2025-09-20,T_RMPNO-1,Rampion Offshore Windfarm Ltd,1544.6,257493.0
2025-09-20,T_RMPNO-2,Rampion Offshore Windfarm Ltd,1344.5,224131.0
